Bar Code,Description,Category Name,Location Name,Serial Number,Manufacturer Name,Division,Department
2001887,B3460DN,LASER PRINTER,D118,3BNX542,DELL,STUDENT AFFAIRS,COUNSELING 
2001856,B3460DN,LASER PRINTER,A169,8BNX542,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
2001890,B3460DN,LASER PRINTER,B214B,F8NX542,DELL,HUMAN RESOURCES,HUMAN RESOURCES 
2001889,B3460DN,LASER PRINTER,A149,J9NX542,DELL,INSTRUCTION,DEAN OF INSTRUCTION
2001862,B3460DN,LASER PRINTER,D105,F9NX542,DELL,STUDENT AFFAIRS,DEAN OF STUDENT AFFAIRS 
2001894,5130CDN,COLOR LASER PRINTER,B118,9B5LQ42,DELL,STUDENT AFFAIRS,REGISTRAR
2001868,B3460DN,LASER PRINTER,D112,99NX542,DELL,STUDENT AFFAIRS,COUNSELING 
2002044,B3460DN,LASER PRINTER,D102,C9NX542,DELL,STUDENT AFFAIRS,ATHLETICS
2001882,B3460DN,LASER PRINTER,D125B,B6NX542,DELL,STUDENT AFFAIRS,CAREER CENTER
2001883,B3460DN,LASER PRINTER,D123,H7NX542,DELL,STUDENT AFFAIRS,ADMISSIONS
2001884,B3460DN,LASER PRINTER,C111,69NX542,DELL,STUDENT AFFAIRS,DEAN OF STUDENT AFFAIRS 
2001866,B3460DN,LASER PRINTER,A132,49NX542,DELL,PUBLIC SAFETY,PUBLIC SAFETY
2001181,B5465DNF,MULTI-FUNCTION PRINTER,C127,2QZLQ42,DELL,INSTRUCTION,CULINARY ARTS
2001867,B3460DN,LASER PRINTER,D104,G7NX542,DELL,STUDENT AFFAIRS,SGA
2002048,B3460DN,LASER PRINTER,A175,7BNX542 ,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
2001849,B2360DN ,LASER PRINTER,A142,DY61442 ,DELL,ADMINISTRATIVE SERVICES,ADMINISTRATIVE SERVICES 
2001731,B5460DN,LASER PRINTER,E202,513MQ42,DELL,INSTRUCTION,BIO SCIENCE
2002053,B5460DN,LASER PRINTER,E223,5G3MQ42,DELL,INSTRUCTION,MATHEMATICS
2002054,B5460DN,LASER PRINTER,A213,2B3MQ42,DELL,INSTRUCTION,CRIMINAL JUSTICE
2002058,B5460DN,LASER PRINTER,F112,783MQ42,DELL,INSTRUCTION,ELECTRONICS
2002057,B5460DN,LASER PRINTER,A148,6D3MQ42,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,COMPUTER INSTITUTE
2002056,B5460DN,LASER PRINTER,B116,3D3MQ42,DELL,INSTRUCTION,ENGLISH/READING
2002083,B5460DN,LASER PRINTER,C284,3G3MQ42,DELL,INSTRUCTION,NURSING
2002052,B5460DN,LASER PRINTER,A223,593MQ42,DELL,INSTRUCTION,MATHEMATICS
2002051,B5460DN,LASER PRINTER,F103,5D3MQ42,DELL,INSTRUCTION,ELECTRONICS
1002216,B2360,PRINTERS,E201,6YW1442,DELL,STUDENT AFFAIRS,REGISTRAR
2002089,B4600 ,LASER PRINTER,LOBBY,AL5B012149B0,OKIDATA,STUDENT AFFAIRS,REGISTRAR
1001522,B5465,MULTI-FUNCTION PRINTER,W270,7GVGSS1,DELL,INSTRUCTION,COMPUTER INFORMATION SYSTEMS
1002272,C2660DN,PRINTERS,E408,9CJY342,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1002215,E525W,PRINTERS,SE031,GZK8862,DELL,INSTRUCTION,DENTAL HYGIENE
1002280,B5465,MULTI-FUNCTION PRINTER,SE308,FXDMQ42,DELL,INSTRUCTION,ALLIED HEALTH
2002186,UPRINT SE PLUS 3D PRINTER,3D PRINTER,I130,P56001,STATASYS,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
2002187,MOJO 3D,3D PRINTER,I130,J05687,STATASYS,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
2002055,C3760DN,COLOR LASER PRINTER,A160,3F16F52,DELL,ADMINISTRATIVE SERVICES,ADMINISTRATIVE SERVICES 
2002189,B3465DNF,MULTI-FUNCTION PRINTER,D207,3TJJSS1,DELL,IIT,CCIT 
2002191,B3465DNF,MULTI-FUNCTION PRINTER,A130,2KLJSS1,DELL,PUBLIC SAFETY,PUBLIC SAFETY
1002297,B2360,PRINTERS,E125,7SJ3442,DELL,STUDENT AFFAIRS,COUNSELING 
2002222,B5465DNF,MULTI-FUNCTION PRINTER,A222,GVDMQ42,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,CAFETERIA
2002258,DESIGNJET T2500,PLOTTER ,B231,CN64G3H00K,HP,INSTRUCTION,ARCHITECTURAL
1002303,B2375DNF,PRINTERS,CDC,6BG25Y1,DELL,INSTRUCTION,CHILD DEVELOPMENT CENTER
1002304,B2375DNF,PRINTERS,SE114,6BG15Y1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
2002260,B5465DNF,MULTI-FUNCTION PRINTER,D120,1NHMQ42,DELL,STUDENT AFFAIRS,ADVISEMENT
2002195,B5465DNF,MULTI-FUNCTION PRINTER,B204,81FMQ42,DELL,CAMPUS DIRECTOR,MARKETING
2002265,C3760DN,COLOR LASER PRINTER,B204,2KT6F52,DELL,CAMPUS DIRECTOR,MARKETING
2002269,OFFICEJET PRO 6230,INK PRINTER,D118,TH66P510VK,HP,STUDENT AFFAIRS,ADMISSIONS
2002270,DESIGNJET T2530,PLOTTER ,B228,CN67C3H01B,HP,INSTRUCTION,ARCHITECTURAL
1002290,B5465,MULTI-FUNCTION PRINTER,SE210,GKHMQ42,DELL,INSTRUCTION,HUMAN SERVICES
1003163,LABEL WRITER 330 TURBO,LABEL MAKER,E216,1750110-2967146,DYMO,HUMAN RESOURCES,HUMAN RESOURCES 
1003007,B5460,PRINTERS,W257,13PZ422,DELL,INSTRUCTION,BUSINESS ADMINISTRATION
2002663,S5830DN,LASER PRINTER,C113,21K1R92,DELL,STUDENT AFFAIRS,STUDENT SUPPORT SERVICES
2002660,S5830DN,LASER PRINTER,C137,1VJ1R92,DELL,INSTRUCTION,NURSING
2002662,S5830DN,LASER PRINTER,G107B,1SJ1R92,DELL,INSTRUCTION,ENERGY
